,Reactant_1_Name,Reactant_2_Name,Solvent_1_Short_Hand,Reagent_1_Short_Hand,Ligand_Short_Hand,Reactant_2_SMILES,Reactant_1_SMILES,Solvent_SMILES,Reagent_SMILES,Ligand_SMILES,yield,Reaction_No,Product_SMILES,Catalyst_SMILES
0,6-Iodoquinoline,Boronic Acid,MeOH,NaHCO3,P(tBu)3,c1cc2cc(ccc2nc1)I,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CO.O,C(=O)(O)[O-].[Na+],CC(C)(C)P(C(C)(C)C)C(C)(C)C,71.7176779733418,1453,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
1,6-Iodoquinoline,Boronic Acid,THF,CsF,P(tBu)3,c1cc2cc(ccc2nc1)I,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,C1CCOC1.O,[F-].[Cs+],CC(C)(C)P(C(C)(C)C)C(C)(C)C,55.6235373516957,1273,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
2,6-triflatequinoline,Boronic Ester,DMF,KOH,P(tBu)3,c1cc2cc(ccc2nc1)OS(=O)(=O)C(F)(F)F,B1(OC(C(O1)(C)C)(C)C)c2c(ccc3c2cnn3C4CCCCO4)C,CN(C)C=O.O,[OH-].[K+],CC(C)(C)P(C(C)(C)C)C(C)(C)C,39.7933943065932,1777,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
3,6-chloroquinoline,Boronic Ester,MeOH,None,P(tBu)3,c1cc2cc(ccc2nc1)Cl,B1(OC(C(O1)(C)C)(C)C)c2c(ccc3c2cnn3C4CCCCO4)C,CO.O,None,CC(C)(C)P(C(C)(C)C)C(C)(C)C,12.2285007142035,3061,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
4,6-triflatequinoline,Boronic Acid,DMF,NaOH,P(Ph)3 ,c1cc2cc(ccc2nc1)OS(=O)(=O)C(F)(F)F,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O.O,[OH-].[Na+],c1ccc(cc1)P(c2ccccc2)c3ccccc3,66.316553568736,962,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
5,6-chloroquinoline,Boronic Acid,DMF,NaHCO3,P(Ph)3 ,c1cc2cc(ccc2nc1)Cl,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O.O,C(=O)(O)[O-].[Na+],c1ccc(cc1)P(c2ccccc2)c3ccccc3,6.83848609348724,206,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
6,6-chloroquinoline,Boronic Ester,THF,NaHCO3,P(Ph)3 ,c1cc2cc(ccc2nc1)Cl,B1(OC(C(O1)(C)C)(C)C)c2c(ccc3c2cnn3C4CCCCO4)C,C1CCOC1.O,C(=O)(O)[O-].[Na+],c1ccc(cc1)P(c2ccccc2)c3ccccc3,15.6288752625118,2798,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
7,6-triflatequinoline,Trifluoroborate,DMF,CsF,P(Ph)3 ,c1cc2cc(ccc2nc1)OS(=O)(=O)C(F)(F)F,[B-](c1c(ccc2c1cnn2C3CCCCO3)C)(F)(F)F.[K+],CN(C)C=O.O,[F-].[Cs+],c1ccc(cc1)P(c2ccccc2)c3ccccc3,32.4849579686562,3339,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
8,6-Bromoquinoline,Boronic Ester,MeOH,CsF,P(Ph)3 ,c1cc2cc(ccc2nc1)Br,B1(OC(C(O1)(C)C)(C)C)c2c(ccc3c2cnn3C4CCCCO4)C,CO.O,[F-].[Cs+],c1ccc(cc1)P(c2ccccc2)c3ccccc3,46.6820745667589,2618,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
9,6-chloroquinoline,Trifluoroborate,THF,CsF,P(Ph)3 ,c1cc2cc(ccc2nc1)Cl,[B-](c1c(ccc2c1cnn2C3CCCCO3)C)(F)(F)F.[K+],C1CCOC1.O,[F-].[Cs+],c1ccc(cc1)P(c2ccccc2)c3ccccc3,24.5450290119482,4395,Cc1ccc2c(c1c3ccc4c(c3)cccn4)cnn2C5CCCCO5,CC(=O)O[Pd]OC(=O)C
